-2.59	1.59	0.64	-10000	0.91	-10000	-10000	0.42	-10000	0.03	0.13	-0.18	-10000	-10000	-10000	-10000	-10000	1.15	-10000	-10000	-10000	-10000	-10000
-2.85	1.92	1.77	-10000	0.54	0.34	-10000	0.96	0.56	0.57	0.55	-0.35	-0.39	0.17	-0.33	0.34	0.52	2.04	1.7	1.88	1.91	1.7	2.79
-2.34	1.74	1.09	-10000	0.04	0.01	-10000	0.14	-10000	0.14	0.32	-0.09	-0.55	-10000	-10000	-0.05	0.55	2.18	2.28	2.14	2.37	1.9	-10000
-2.68	2.25	1.6	-10000	1.04	0.34	-10000	0.42	-10000	0.39	0.11	-0.26	-0.21	0.15	-10000	1.68	1.4	2.63	1.93	2.3	2.12	1.18	-10000
-2.86	1.63	2.48	-10000	0.5	0.88	-10000	1.12	-10000	0.46	0.8	-0.38	0.03	-10000	-10000	0.31	0.25	1.21	1.16	1.4	0.27	.87	2.66
-2.16	1.73	1.78	-10000	0.18	-10000	-10000	-10000	-10000	0.29	0.36	-0.55	-10000	-10000	-10000	-10000	-10000	0.07	-0.41	0.14	-10000	.60	-10000
-3.02	1.99	-10000	0.48	0.58	-10000	-10000	0.11	-10000	0.38	0.22	-0.19	-0.61	-10000	-10000	0.18	-10000	1.06	-10000	-10000	-10000	2.40	-10000
-2.39	1.95	1.4	0.03	0.3	-10000	0.74	0.24	0.18	0.31	0.68	-0.3	-0.4	1.53	0.76	-10000	0.37	1.23	-10000	-10000	1.7	-10000	2.18
-2.07	1.84	-10000	0.37	0.37	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	1.4	-10000	-10000	-10000	-10000	-10000
-2.91	1.98	2.23	-10000	0.64	0.28	-10000	0.55	-10000	0.28	0.96	-0.08	-0.05	0.1	-10000	1.12	0.95	1.93	1.67	1.89	2.18	.93	2.61
-2.7	1.87	1.52	-10000	0.68	0.47	-10000	0.82	-10000	0.43	0.65	-0.66	-0.19	-0.06	-10000	0.52	0.87	1.59	1.55	1.89	1.51	0.8	2.6
-2.72	2.6	2.1	-0.17	0.73	-0.35	0.34	0.66	0.37	0.85	0.15	-0.41	-0.26	-10000	-10000	0.34	.91	1.46	1.8	-10000	-10000	1.1	3.3
-3.17	1.1	2.39	-0.06	0.49	-10000	-10000	0.13	-10000	-10000	0.44	-0.34	-10000	-10000	-10000	-10000	-10000	-0.48	-10000	-10000	-10000	-10000	-10000
-3.14	2.1	3.06	-10000	0.65	-10000	-10000	0.43	0.49	0.54	-10000	-0.23	-10000	-10000	-10000	-10000	-10000	0.86	-10000	-10000	-10000	-10000	-10000
-1.06	1.1	1.28	0.16	0.36	-10000	-10000	0.16	0.31	0.39	-10000	-0.12	-10000	-10000	0.01	-10000	-10000	1.5	-10000	-10000	-10000	-10000	-10000
-2.86	2.77	3.58	2.33	1.69	-10000	-10000	0.46	0.59	0.87	-10000	-10000	-10000	-10000	0.26	-10000	-10000	3.27	-10000	-10000	-10000	-10000	-10000
-2.09	2.1	1.61	0.34	0.52	-10000	-10000	0.11	-10000	0.5	-10000	0	-10000	-10000	-10000	-10000	-10000	1.97	-10000	-10000	-10000	-10000	-10000
-1.73	1.14	2.75	0.51	0.62	-10000	-10000	0.18	0.32	0.34	-10000	-0.08	-10000	-10000	-0.1	-10000	-10000	1.64	-10000	-10000	-10000	-10000	-10000
-2.47	1.38	0.89	0.32	0.35	-10000	-10000	0.31	0.14	0.31	-10000	-0.26	-10000	-10000	0.12	-10000	-10000	1.11	-10000	-10000	-10000	-10000	-10000
-1.38	1.29	0.8	0.23	0.19	-10000	-10000	0.58	0.2	0.43	-10000	0.07	-10000	-10000	0.25	-10000	-10000	1.89	-10000	-10000	-10000	-10000	-10000
